epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.553,0.94713,1.82111,1.44791,0.86476,0.73807,0.89057,0.44119,1.07567,2.86923,1.70097,0.0005,0.0005,0.0005
2,381.693,0.82002,1.21789,1.35081,0.91469,0.96154,0.95715,0.48644,1.2547,2.46716,2.09954,0.00100317,0.00100317,0.00100317
3,569.632,0.93036,1.16181,1.43538,0.82625,0.91471,0.95501,0.46898,1.29963,2.38638,2.01834,0.00148918,0.00148918,0.00148918
4,735.603,0.89129,1.12427,1.3962,0.7203,0.84615,0.87782,0.51172,1.1959,2.9069,1.85639,0.001901,0.001901,0.001901
5,994.479,0.91077,1.11169,1.42106,0.92479,0.94623,0.98424,0.75839,0.82743,1.82198,1.39933,0.001868,0.001868,0.001868
6,1171.26,0.90826,0.99814,1.38755,1,0.95546,0.98938,0.6454,1.00742,1.58466,1.79364,0.001835,0.001835,0.001835
7,1335.81,0.89314,0.9612,1.37421,0.961,0.94807,0.98784,0.62278,1.29098,1.67875,2.10335,0.001802,0.001802,0.001802
8,1647.78,0.87582,0.91187,1.36419,0.99419,1,0.995,0.80698,0.75869,0.99323,1.30584,0.001769,0.001769,0.001769
9,1836.18,0.85074,0.89698,1.34206,0.99551,1,0.995,0.78879,0.84399,1.02557,1.52461,0.001736,0.001736,0.001736
10,1996.69,0.81451,0.84813,1.30024,0.99637,1,0.995,0.77199,0.85068,0.93374,1.52857,0.001703,0.001703,0.001703
11,2148.91,0.8258,0.82189,1.34703,0.99377,1,0.995,0.81549,0.71338,0.85406,1.27187,0.00167,0.00167,0.00167
12,2306.73,0.77888,0.76153,1.27174,0.99584,1,0.995,0.87752,0.60467,0.73975,1.17243,0.001637,0.001637,0.001637
13,2461.84,0.81399,0.75922,1.30335,0.99995,1,0.995,0.81869,0.72157,0.83548,1.24062,0.001604,0.001604,0.001604
14,2621.68,0.79192,0.72558,1.29871,0.9938,1,0.995,0.84866,0.65914,0.73327,1.20458,0.001571,0.001571,0.001571
15,2777.56,0.7625,0.72442,1.28393,0.99247,1,0.995,0.72916,0.89088,0.96053,1.49152,0.001538,0.001538,0.001538
16,2911.94,0.79311,0.74149,1.29372,1,0.99161,0.995,0.85389,0.64613,0.67654,1.20162,0.001505,0.001505,0.001505
17,3054.37,0.77455,0.72694,1.29401,0.99738,1,0.995,0.77464,0.85226,0.6505,1.45343,0.001472,0.001472,0.001472
18,3190.96,0.77115,0.71086,1.28761,0.99731,1,0.995,0.79976,0.74505,0.61464,1.26341,0.001439,0.001439,0.001439
19,3329.31,0.75943,0.68773,1.29179,0.9978,1,0.995,0.72098,0.98901,0.67715,1.56635,0.001406,0.001406,0.001406
20,3461.97,0.76513,0.69553,1.25954,0.99637,1,0.995,0.82882,0.7165,0.6279,1.28831,0.001373,0.001373,0.001373
21,3603.46,0.7626,0.68284,1.27846,0.99617,1,0.995,0.78948,0.75071,0.62065,1.3107,0.00134,0.00134,0.00134
22,3739.15,0.7501,0.68962,1.28246,0.99598,1,0.995,0.86926,0.60845,0.52719,1.16166,0.001307,0.001307,0.001307
23,3873.22,0.75191,0.66319,1.27874,0.99583,1,0.995,0.85703,0.63424,0.47128,1.15167,0.001274,0.001274,0.001274
24,4001.73,0.74773,0.6646,1.24365,0.99677,1,0.995,0.88664,0.52662,0.44598,1.0645,0.001241,0.001241,0.001241
25,4147.86,0.74166,0.63556,1.27324,0.9828,0.92308,0.977,0.65031,1.00845,1.15159,1.57494,0.001208,0.001208,0.001208
26,4311.15,0.7167,0.60424,1.23492,0.99463,1,0.995,0.78699,0.70623,0.56147,1.21767,0.001175,0.001175,0.001175
