epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6771,2.86575,4.80785,1.84162,0,0,0,0,2.06062,4.81976,1.55214,2.856e-05,2.856e-05,2.856e-05
2,50.3073,2.58518,4.7935,1.64306,0,0,0,0,1.90037,4.81377,1.48701,5.88169e-05,5.88169e-05,5.88169e-05
3,65.8657,1.99798,4.73895,1.4201,0,0,0,0,2.00523,4.78291,1.46439,8.57752e-05,8.57752e-05,8.57752e-05
4,82.0984,1.82714,4.68065,1.30016,0.03268,0.05348,0.03709,0.03224,1.96221,4.72854,1.39875,0.000109435,0.000109435,0.000109435
5,110.986,1.70469,4.5619,1.27023,0.01505,0.05882,0.04431,0.04016,1.69328,4.69997,1.28027,0.000129796,0.000129796,0.000129796
6,138.45,1.58453,4.45435,1.23648,0.00667,0.05882,0.04618,0.03713,1.44137,4.65716,1.19221,0.000146858,0.000146858,0.000146858
7,165.535,1.565,4.35026,1.15222,0.00522,0.05882,0.04788,0.03674,1.42751,4.62005,1.18308,0.000160621,0.000160621,0.000160621
8,198.373,1.46047,4.25414,1.15842,0.00937,0.0844,0.04441,0.03388,1.40619,4.51549,1.16637,0.000171086,0.000171086,0.000171086
9,227.059,1.61166,4.17623,1.17179,0.91443,0.05882,0.05663,0.04149,1.39459,4.45497,1.16374,0.000178252,0.000178252,0.000178252
10,256.678,1.53017,4.1288,1.15031,0.91957,0.05882,0.07316,0.05243,1.37602,4.38747,1.15288,0.00018212,0.00018212,0.00018212
11,285.705,1.48586,3.97282,1.16265,0.96373,0.07226,0.10361,0.07068,1.31893,4.19614,1.1358,0.000182689,0.000182689,0.000182689
12,312.787,1.337,3.94463,1.14481,0.95304,0.08234,0.10847,0.07366,1.31219,4.07622,1.13474,0.000179959,0.000179959,0.000179959
13,340.117,1.36996,3.86461,1.13278,0.94427,0.08407,0.12096,0.08619,1.32699,3.9474,1.14006,0.00017393,0.00017393,0.00017393
14,366.718,1.45411,3.73753,1.13007,0.94427,0.08407,0.12096,0.08619,1.32699,3.9474,1.14006,0.000164603,0.000164603,0.000164603
15,393.608,1.32717,3.81126,1.14148,0.9369,0.1016,0.13766,0.09384,1.33523,3.81248,1.13983,0.000146132,0.000146132,0.000146132
16,420.263,1.49379,3.7741,1.16848,0.91701,0.11117,0.14943,0.10226,1.33449,3.69197,1.137,0.00012257,0.00012257,0.00012257
17,447.202,1.43077,3.61792,1.12322,0.73319,0.11947,0.1575,0.10878,1.33737,3.56868,1.1332,9.9008e-05,9.9008e-05,9.9008e-05
18,474.374,1.33154,3.70864,1.14128,0.62363,0.13276,0.16509,0.11616,1.33405,3.48316,1.13044,7.5446e-05,7.5446e-05,7.5446e-05
19,501.939,1.34073,3.64975,1.15017,0.61161,0.14587,0.17143,0.12089,1.33449,3.40472,1.12991,5.1884e-05,5.1884e-05,5.1884e-05
20,529.175,1.33448,3.65022,1.13793,0.70663,0.12633,0.17406,0.12332,1.33209,3.38266,1.12946,2.8322e-05,2.8322e-05,2.8322e-05
