epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0796,2.68348,4.82679,1.85298,0,0,0,0,2.0255,4.76702,1.59308,2.856e-05,2.856e-05,2.856e-05
2,53.4223,2.19037,4.76368,1.56478,0,0,0,0,1.8171,4.74677,1.48802,6.0859e-05,6.0859e-05,6.0859e-05
3,80.4065,1.77863,4.69484,1.39781,0.05882,0.00535,0.00559,0.00335,1.84964,4.71192,1.44076,9.20584e-05,9.20584e-05,9.20584e-05
4,107.454,1.5579,4.5975,1.26559,0.01849,0.05882,0.05091,0.04007,1.66449,4.64054,1.30705,0.000122158,0.000122158,0.000122158
5,134.416,1.51058,4.44479,1.24131,0.00674,0.05882,0.05172,0.04472,1.49385,4.59354,1.23331,0.000151159,0.000151159,0.000151159
6,162.598,1.40826,4.2913,1.20996,0.0028,0.05882,0.04917,0.04455,1.37824,4.5142,1.18291,0.000179059,0.000179059,0.000179059
7,190.61,1.37632,4.15207,1.15182,0.00594,0.06394,0.04661,0.04086,1.34426,4.46128,1.16221,0.00020586,0.00020586,0.00020586
8,217.623,1.37465,3.98716,1.16896,0.01604,0.14322,0.07792,0.05895,1.2702,4.33819,1.15658,0.000231562,0.000231562,0.000231562
9,245.402,1.42985,3.94388,1.16322,0.01808,0.17903,0.08603,0.05838,1.2563,4.26152,1.15664,0.000256164,0.000256164,0.000256164
10,273.584,1.36519,3.78635,1.14253,0.73068,0.13043,0.0921,0.05768,1.27332,4.14556,1.15583,0.000279667,0.000279667,0.000279667
11,301.071,1.31513,3.74892,1.14258,0.03541,0.4757,0.10167,0.06051,1.32609,3.91743,1.17543,0.00030207,0.00030207,0.00030207
12,328.617,1.33415,3.62986,1.14505,0.03814,0.54476,0.10695,0.06672,1.31264,3.83084,1.18416,0.000323373,0.000323373,0.000323373
13,355.652,1.34841,3.50322,1.13046,0.03804,0.5422,0.10823,0.06904,1.33425,3.82893,1.18569,0.000343577,0.000343577,0.000343577
14,382.951,1.29218,3.35785,1.14968,0.03804,0.5422,0.10823,0.06904,1.33425,3.82893,1.18569,0.000362681,0.000362681,0.000362681
15,410.101,1.28194,3.34076,1.1247,0.6061,0.11329,0.11357,0.07674,1.37535,3.81433,1.1906,0.000366044,0.000366044,0.000366044
16,437.83,1.29452,3.21034,1.13496,0.53476,0.12274,0.12837,0.08863,1.38422,3.79663,1.20024,0.00035819,0.00035819,0.00035819
